"","","","","","","","","","","","","","","",""
"Team ID","Название","Город","Тур","1","2","3","4","5","6","7","8","9","10","11","12"
"98414","Acquired Taste","Лондон","1","0","0","1","1","1","0","1","1","0","0","0","1"
"65752","А с виду приличные люди!","Белгород","1","1","0","0","0","0","0","0","1","0","1","0","1"
"107369","Второе дыхание","Белгород","1","0","0","0","0","0","0","0","0","0","0","0","0"
"108168","Дабл ять","Лондон","1","0","0","0","0","0","0","1","0","0","0","0","0"
"47399","Домино","Клайпеда","1","0","0","0","0","0","0","0","1","0","0","0","0"
"26609","Другое полушарие","Тула","1","0","0","0","0","1","0","1","1","0","1","1","1"
"77568","Енот, да не тот","Москва","1","0","0","0","1","0","0","1","0","0","1","0","1"
"49796","Жить хорошо","Клайпеда","1","1","0","0","0","0","0","0","0","0","0","0","1"
"57594","КБУ","Белгород","1","1","1","1","0","0","1","1","0","0","1","1","0"
"74113","Красные Перцы","Ванкувер","1","1","0","1","1","0","0","1","0","0","1","0","1"
"81111","Кто там?","Ванкувер","1","1","0","0","0","0","0","1","0","0","0","1","1"
"7894","Мыс Li","Тула","1","1","0","0","1","0","0","1","1","0","1","0","1"
"87165","Общество трезвости имени Чарльза Буковски","Уфа","1","1","0","1","0","1","1","1","1","0","1","0","1"
"108136","Первомай","Базель","1","0","0","0","0","0","0","0","0","0","0","0","1"
"46978","Пикачу","Белгород","1","1","0","1","0","0","0","1","1","1","1","1","1"
"103062","ПЛ","Белгород","1","0","0","0","0","0","0","1","0","0","0","0","0"
"97467","Плюшки","Белгород","1","0","0","0","0","0","0","0","0","0","1","1","1"
"69131","Посторонним Пэ","Бишкек","1","0","0","0","1","0","0","1","0","0","1","0","1"
"102954","Постоянная Планка","Базель","1","1","0","0","0","0","0","0","0","0","1","0","1"
"108137","Просто 42","Базель","1","0","0","0","0","0","0","1","0","0","0","0","0"
"2416","Ромашка","Омск","1","1","0","0","1","1","0","1","1","1","1","1","1"
"92474","С как сборник","Лондон","1","1","0","0","0","0","0","1","1","0","0","1","1"
"52999","Сборная солянка","Уфа","1","1","0","0","1","1","0","1","1","1","1","0","1"
"105314","Сборник","Лондон","1","1","0","0","1","0","0","0","1","0","1","1","1"
"105360","Слабоумие и отвага","Бишкек","1","0","0","1","0","0","0","1","1","1","0","0","1"
